[Fri Nov  7 16:08:27 2025] PHP 8.2.12 Development Server (http://localhost:8000) started
[Sat Nov  8 06:29:35 2025] [::1]:49735 Accepted
[Sat Nov  8 06:29:35 2025] [::1]:49735 [200]: GET /api/auth/me
[Sat Nov  8 06:29:35 2025] [::1]:49735 Closing
[Sat Nov  8 06:29:35 2025] [::1]:54637 Accepted
[Sat Nov  8 06:29:35 2025] [::1]:54637 [200]: GET /api/auth/me
[Sat Nov  8 06:29:35 2025] [::1]:54637 Closing
[Sat Nov  8 06:29:35 2025] [::1]:54216 Accepted
[Sat Nov  8 06:29:36 2025] [::1]:54216 [200]: GET /api/auth/me
[Sat Nov  8 06:29:36 2025] [::1]:54216 Closing
[Sat Nov  8 06:29:36 2025] [::1]:60781 Accepted
[Sat Nov  8 06:29:36 2025] [::1]:60781 [200]: GET /api/auth/me
[Sat Nov  8 06:29:36 2025] [::1]:60781 Closing
[Sat Nov  8 06:29:36 2025] [::1]:51535 Accepted
[Sat Nov  8 06:29:36 2025] [::1]:51535 [200]: GET /api/auth/me
[Sat Nov  8 06:29:36 2025] [::1]:51535 Closing
[Sat Nov  8 06:29:36 2025] [::1]:63636 Accepted
[Sat Nov  8 06:29:36 2025] [::1]:63636 [200]: GET /api/auth/me
[Sat Nov  8 06:29:36 2025] [::1]:63636 Closing
[Sat Nov  8 06:31:08 2025] [::1]:64219 Accepted
[Sat Nov  8 06:31:08 2025] [::1]:64219 [200]: GET /api/applications
[Sat Nov  8 06:31:08 2025] [::1]:64219 Closing
[Sat Nov  8 06:31:08 2025] [::1]:54350 Accepted
[Sat Nov  8 06:31:09 2025] [::1]:54350 [200]: GET /api/applications
[Sat Nov  8 06:31:09 2025] [::1]:54350 Closing
[Sat Nov  8 06:58:06 2025] [::1]:56122 Accepted
[Sat Nov  8 06:58:07 2025] JWT verification failed: Expired token
[Sat Nov  8 06:58:07 2025] [::1]:56122 [401]: GET /api/auth/me
[Sat Nov  8 06:58:07 2025] [::1]:56122 Closing
[Sat Nov  8 06:58:07 2025] [::1]:55562 Accepted
[Sat Nov  8 06:58:07 2025] JWT verification failed: Expired token
[Sat Nov  8 06:58:07 2025] [::1]:55562 [401]: GET /api/auth/me
[Sat Nov  8 06:58:07 2025] [::1]:55562 Closing
[Sat Nov  8 06:58:07 2025] [::1]:51885 Accepted
[Sat Nov  8 06:58:07 2025] JWT verification failed: Expired token
[Sat Nov  8 06:58:07 2025] [::1]:51885 [401]: GET /api/auth/me
[Sat Nov  8 06:58:07 2025] [::1]:51885 Closing
[Sat Nov  8 06:58:07 2025] [::1]:63082 Accepted
[Sat Nov  8 06:58:07 2025] JWT verification failed: Expired token
[Sat Nov  8 06:58:07 2025] [::1]:63082 [401]: GET /api/auth/me
[Sat Nov  8 06:58:07 2025] [::1]:63082 Closing
[Sat Nov  8 06:58:31 2025] [::1]:51185 Accepted
[Sat Nov  8 06:58:31 2025] [::1]:51185 [200]: POST /api/auth/login
[Sat Nov  8 06:58:31 2025] [::1]:51185 Closing
[Sat Nov  8 06:58:48 2025] [::1]:63678 Accepted
[Sat Nov  8 06:58:48 2025] [::1]:63678 [200]: GET /api/auth/me
[Sat Nov  8 06:58:48 2025] [::1]:63678 Closing
[Sat Nov  8 06:58:48 2025] [::1]:63091 Accepted
[Sat Nov  8 06:58:48 2025] [::1]:63091 [200]: GET /api/auth/me
[Sat Nov  8 06:58:48 2025] [::1]:63091 Closing
[Sat Nov  8 06:58:48 2025] [::1]:60651 Accepted
[Sat Nov  8 06:58:48 2025] [::1]:60651 [200]: GET /api/auth/me
[Sat Nov  8 06:58:48 2025] [::1]:60651 Closing
[Sat Nov  8 06:58:48 2025] [::1]:55363 Accepted
[Sat Nov  8 06:58:48 2025] [::1]:55363 [200]: GET /api/auth/me
[Sat Nov  8 06:58:48 2025] [::1]:55363 Closing
[Sat Nov  8 06:58:48 2025] [::1]:54670 Accepted
[Sat Nov  8 06:58:48 2025] [::1]:54670 [200]: GET /api/auth/me
[Sat Nov  8 06:58:48 2025] [::1]:54670 Closing
[Sat Nov  8 06:58:48 2025] [::1]:58659 Accepted
[Sat Nov  8 06:58:48 2025] [::1]:58659 [200]: GET /api/auth/me
[Sat Nov  8 06:58:48 2025] [::1]:58659 Closing
[Sat Nov  8 06:59:44 2025] [::1]:65095 Accepted
[Sat Nov  8 06:59:44 2025] [::1]:65095 [200]: GET /api/auth/me
[Sat Nov  8 06:59:44 2025] [::1]:65095 Closing
[Sat Nov  8 06:59:44 2025] [::1]:54543 Accepted
[Sat Nov  8 06:59:44 2025] [::1]:54543 [200]: GET /api/auth/me
[Sat Nov  8 06:59:44 2025] [::1]:54543 Closing
[Sat Nov  8 06:59:44 2025] [::1]:56007 Accepted
[Sat Nov  8 06:59:45 2025] [::1]:56007 [200]: GET /api/auth/me
[Sat Nov  8 06:59:45 2025] [::1]:56007 Closing
[Sat Nov  8 06:59:45 2025] [::1]:50889 Accepted
[Sat Nov  8 06:59:45 2025] [::1]:50889 [200]: GET /api/auth/me
[Sat Nov  8 06:59:45 2025] [::1]:50889 Closing
[Sat Nov  8 06:59:45 2025] [::1]:64806 Accepted
[Sat Nov  8 06:59:45 2025] [::1]:64806 [200]: GET /api/auth/me
[Sat Nov  8 06:59:45 2025] [::1]:64806 Closing
[Sat Nov  8 06:59:45 2025] [::1]:54643 Accepted
[Sat Nov  8 06:59:45 2025] [::1]:54643 [200]: GET /api/auth/me
[Sat Nov  8 06:59:45 2025] [::1]:54643 Closing
[Sat Nov  8 07:02:18 2025] [::1]:54502 Accepted
[Sat Nov  8 07:02:18 2025] [::1]:54502 [200]: GET /api/auth/me
[Sat Nov  8 07:02:18 2025] [::1]:54502 Closing
[Sat Nov  8 07:02:18 2025] [::1]:63719 Accepted
[Sat Nov  8 07:02:18 2025] [::1]:63719 [200]: GET /api/auth/me
[Sat Nov  8 07:02:18 2025] [::1]:63719 Closing
[Sat Nov  8 07:02:18 2025] [::1]:50671 Accepted
[Sat Nov  8 07:02:18 2025] [::1]:50671 [200]: GET /api/auth/me
[Sat Nov  8 07:02:18 2025] [::1]:50671 Closing
[Sat Nov  8 07:02:18 2025] [::1]:63841 Accepted
[Sat Nov  8 07:02:18 2025] [::1]:63841 [200]: GET /api/auth/me
[Sat Nov  8 07:02:18 2025] [::1]:63841 Closing
[Sat Nov  8 07:02:18 2025] [::1]:58470 Accepted
[Sat Nov  8 07:02:19 2025] [::1]:58470 [200]: GET /api/auth/me
[Sat Nov  8 07:02:19 2025] [::1]:58470 Closing
[Sat Nov  8 07:02:19 2025] [::1]:52964 Accepted
[Sat Nov  8 07:02:19 2025] [::1]:52964 [200]: GET /api/auth/me
[Sat Nov  8 07:02:19 2025] [::1]:52964 Closing
[Sat Nov  8 07:03:06 2025] [::1]:64031 Accepted
[Sat Nov  8 07:03:06 2025] [::1]:64031 [200]: GET /api/auth/me
[Sat Nov  8 07:03:06 2025] [::1]:64031 Closing
[Sat Nov  8 07:03:06 2025] [::1]:62554 Accepted
[Sat Nov  8 07:03:06 2025] [::1]:62554 [200]: GET /api/auth/me
[Sat Nov  8 07:03:06 2025] [::1]:62554 Closing
[Sat Nov  8 07:03:06 2025] [::1]:53795 Accepted
[Sat Nov  8 07:03:06 2025] [::1]:53795 [200]: GET /api/auth/me
[Sat Nov  8 07:03:06 2025] [::1]:53795 Closing
[Sat Nov  8 07:03:06 2025] [::1]:55329 Accepted
[Sat Nov  8 07:03:06 2025] [::1]:55329 [200]: GET /api/auth/me
[Sat Nov  8 07:03:06 2025] [::1]:55329 Closing
[Sat Nov  8 07:03:06 2025] [::1]:52825 Accepted
[Sat Nov  8 07:03:06 2025] [::1]:52825 [200]: GET /api/auth/me
[Sat Nov  8 07:03:06 2025] [::1]:52825 Closing
[Sat Nov  8 07:03:06 2025] [::1]:56572 Accepted
[Sat Nov  8 07:03:06 2025] [::1]:56572 [200]: GET /api/auth/me
[Sat Nov  8 07:03:06 2025] [::1]:56572 Closing
[Sat Nov  8 07:03:11 2025] [::1]:63837 Accepted
[Sat Nov  8 07:03:11 2025] [::1]:63837 [200]: GET /api/auth/me
[Sat Nov  8 07:03:11 2025] [::1]:63837 Closing
[Sat Nov  8 07:03:11 2025] [::1]:61405 Accepted
[Sat Nov  8 07:03:12 2025] [::1]:61405 [200]: GET /api/auth/me
[Sat Nov  8 07:03:12 2025] [::1]:61405 Closing
[Sat Nov  8 07:03:21 2025] [::1]:56564 Accepted
[Sat Nov  8 07:03:21 2025] [::1]:56564 [200]: POST /api/auth/login
[Sat Nov  8 07:03:21 2025] [::1]:56564 Closing
[Sat Nov  8 07:03:22 2025] [::1]:62128 Accepted
[Sat Nov  8 07:03:22 2025] [::1]:62128 [200]: GET /api/auth/me
[Sat Nov  8 07:03:22 2025] [::1]:62128 Closing
